"Intent","TrainPhrase"
worker.hire,"{""en-US"": ""make hire agreement with Martha""}"
worker.hire,"{""en-US"": ""make hire agreement with worker""}"
worker.hire,"{""en-US"": ""employ worker""}"
worker.hire,"{""en-US"": ""employ Pascual""}"
worker.hire,"{""en-US"": ""bring in worker""}"
worker.hire,"{""en-US"": ""bring in employee""}"
worker.hire,"{""en-US"": ""hire Danny""}"
worker.hire,"{""en-US"": ""make employment contract with Katherine""}"
worker.hire,"{""en-US"": ""hire Anthony""}"
worker.hire,"{""en-US"": ""make hire employee""}"
worker.hire,"{""en-US"": ""hire worker""}"
workerBusinessContactInformation.update,"{""en-US"": ""update worker business contact info""}"
workerBusinessContactInformation.update,"{""en-US"": ""update business contact""}"
workerBusinessContactInformation.update,"{""en-US"": ""inform associate biz contact""}"
workerBusinessContactInformation.update,"{""en-US"": ""update Pascual business information""}"
workerBusinessContactInformation.update,"{""en-US"": ""modify worker biz info""}"
workerBusinessContactInformation.update,"{""en-US"": ""edit Anthony contact info""}"
workerBusinessContactInformation.update,"{""en-US"": ""update Dan business contact information""}"
workerBusinessContactInformation.update,"{""en-US"": ""edit employee contact information""}"
workerBusinessContactInformation.update,"{""en-US"": ""adjust worker business info""}"
workerBusinessContactInformation.update,"{""en-US"": ""update worker contacts""}"
workerBusinessContactInformation.update,"{""en-US"": ""modify Roberto contact information""}"
workerBusinessContactInformation.update,"{""en-US"": ""adjust Chase emergency contacts""}"
workerBusinessContactInformation.update,"{""en-US"": ""change Candice business phone""}"
workerBusinessContactInformation.update,"{""en-US"": ""change worker biz phone""}"
workerBusinessContactInformation.update,"{""en-US"": ""modify Anthony business phone""}"
workerBusinessContactInformation.update,"{""en-US"": ""change Tom corporate phone""}"
workerBusinessContactInformation.update,"{""en-US"": ""edit associate landline business phone""}"
workerBusinessContactInformation.update,"{""en-US"": ""update worker business emergency contact""}"
adjustment,"{""en-US"": ""modify worker overtime pay""}"
adjustment,"{""en-US"": ""adjust Andy bonus""}"
adjustment,"{""en-US"": ""update bonus""}"
adjustment,"{""en-US"": ""change associate regular pay""}"
adjustment,"{""en-US"": ""change Tom salary""}"
adjustment,"{""en-US"": ""modify worker benefits""}"
adjustment,"{""en-US"": ""adjust salary""}"
adjustment,"{""en-US"": ""change worker pay""}"
adjustment,"{""en-US"": ""adjust Anthony payment""}"
adjustment,"{""en-US"": ""adjustments""}"
adjustment,"{""en-US"": ""adjust pay""}"
adjustment,"{""en-US"": ""adjust worker pay""}"
adjustment,"{""en-US"": ""modify compensation""}"
adjustment,"{""en-US"": ""update worker overtime pay""}"
adjustment,"{""en-US"": ""change Andy bonus""}"
adjustment,"{""en-US"": ""update worker benefits""}"
adjustment,"{""en-US"": ""change salary""}"
adjustment,"{""en-US"": ""update worker pay""}"
adjustment,"{""en-US"": ""update compensation""}"
assessment.add,"{""en-US"": ""i need to add new assessment""}"
assessment.add,"{""en-US"": ""setup assessment""}"
assessment.add,"{""en-US"": ""add assessment""}"
assessment.add,"{""en-US"": ""please make a new assessment""}"
assessment.add,"{""en-US"": ""new assessment addition""}"
assessment.add,"{""en-US"": ""new assessment""}"
assessment.add,"{""en-US"": ""make assessment""}"
assessment.add,"{""en-US"": ""create assessment""}"
assessment.add,"{""en-US"": ""set up assessment""}"
assessment.add,"{""en-US"": ""establish assessment""}"
assessment.add,"{""en-US"": ""start new assessment""}"
assessment.submit,"{""en-US"": ""finish assessmsent""}"
assessment.submit,"{""en-US"": ""finish pre-screening""}"
assessment.submit,"{""en-US"": ""send an screening""}"
assessment.submit,"{""en-US"": ""please submit an assessment""}"
assessment.submit,"{""en-US"": ""turn in assessment""}"
assessment.submit,"{""en-US"": ""finish prescreening""}"
assessment.submit,"{""en-US"": ""complete pre-screening""}"
assessment.submit,"{""en-US"": ""send screening""}"
assessment.submit,"{""en-US"": ""submit assessment""}"
assessment.submit,"{""en-US"": ""i need to complete an assessment""}"
assessment.submit,"{""en-US"": ""please submit assessment now""}"
assessment.submit,"{""en-US"": ""submit screening""}"
assessment.submit,"{""en-US"": ""end assessment""}"
assessment.take,"{""en-US"": ""please take a new assessment""}"
assessment.take,"{""en-US"": ""answer to an assessment""}"
assessment.take,"{""en-US"": ""fill in assessment""}"
assessment.take,"{""en-US"": ""answer assessment""}"
assessment.take,"{""en-US"": ""complete assessment""}"
assessment.take,"{""en-US"": ""fill out assessment""}"
assessment.take,"{""en-US"": ""take assessment""}"
assessment.take,"{""en-US"": ""respond to assessment""}"
assessment.take,"{""en-US"": ""i need to take an assessment""}"
assessment.take,"{""en-US"": ""make assessment now please""}"
assessment.take,"{""en-US"": ""I need to complete an assessment""}"
assessment.take,"{""en-US"": ""I need to finish an assessment""}"
assessment.update,"{""en-US"": ""change assessment""}"
assessment.update,"{""en-US"": ""adjust assessment""}"
assessment.update,"{""en-US"": ""correct an assessment""}"
assessment.update,"{""en-US"": ""update assessment""}"
assessment.update,"{""en-US"": ""please update assessment""}"
assessment.update,"{""en-US"": ""modify assessment""}"
assessment.update,"{""en-US"": ""i need to update an assessment""}"
assessment.update,"{""en-US"": ""correct assessment""}"
assessment.update,"{""en-US"": ""edit assessment""}"
associateGovernmentRegistration.create,"{""en-US"": ""make employee government registration""}"
associateGovernmentRegistration.create,"{""en-US"": ""i need to create government docs for employee""}"
associateGovernmentRegistration.create,"{""en-US"": ""establish worker government doc""}"
associateGovernmentRegistration.create,"{""en-US"": ""add Keith gov documentation""}"
associateGovernmentRegistration.create,"{""en-US"": ""create worker gov matriculation""}"
associateGovernmentRegistration.create,"{""en-US"": ""make new Anthony government docs""}"
associateGovernmentRegistration.create,"{""en-US"": ""create Dan government document""}"
associateGovernmentRegistration.create,"{""en-US"": ""make new employee government doc""}"
associateGovernmentRegistration.create,"{""en-US"": ""new worker government enrollment""}"
associateGovernmentRegistration.create,"{""en-US"": ""create associate gov registration""}"
associateGovernmentRegistration.create,"{""en-US"": ""add associate government reg""}"
associateGovernmentRegistration.create,"{""en-US"": ""establish worker government registration""}"
associateGovernmentRegistration.create,"{""en-US"": ""new associate government registration""}"
associateGovernmentRegistration.create,"{""en-US"": ""create associate government registration""}"
associateGovernmentRegistration.create,"{""en-US"": ""create worker passport""}"
associateGovernmentRegistration.create,"{""en-US"": ""make worker driver license""}"
associateGovernmentRegistration.create,"{""en-US"": ""create Teresa passport""}"
associateGovernmentRegistration.create,"{""en-US"": ""create worker SSN""}"
associateGovernmentRegistration.create,"{""en-US"": ""add Teresa social security number""}"
associateGovernmentRegistration.create,"{""en-US"": ""new associate SSN""}"
associateGovernmentRegistration.create,"{""en-US"": ""make Vincent social security number""}"
associateGovernmentRegistration.create,"{""en-US"": ""create worker VISA""}"
associateGovernmentRegistration.create,"{""en-US"": ""add VISA document for worker Tom""}"
associateGovernmentRegistration.create,"{""en-US"": ""make employee VISA doc""}"
associateGovernmentRegistration.create,"{""en-US"": ""establish associate visa""}"
associateGovernmentRegistration.create,"{""en-US"": ""make Bruno social insurance number""}"
associateGovernmentRegistration.create,"{""en-US"": ""new Katherine SIN""}"
associateGovernmentRegistration.create,"{""en-US"": ""create worker SIN""}"
associateGovernmentRegistration.update,"{""en-US"": ""change Keith gov docs""}"
associateGovernmentRegistration.update,"{""en-US"": ""edit Anthony government docs""}"
associateGovernmentRegistration.update,"{""en-US"": ""update Teresa government documents""}"
associateGovernmentRegistration.update,"{""en-US"": ""edit Pascual gov doc""}"
associateGovernmentRegistration.update,"{""en-US"": ""modify Dan government document""}"
associateGovernmentRegistration.update,"{""en-US"": ""change worker government reg""}"
associateGovernmentRegistration.update,"{""en-US"": ""change employee government enrollment""}"
associateGovernmentRegistration.update,"{""en-US"": ""change employee government reg""}"
associateGovernmentRegistration.update,"{""en-US"": ""update worker government reg""}"
associateGovernmentRegistration.update,"{""en-US"": ""edit employee government enrollment""}"
associateGovernmentRegistration.update,"{""en-US"": ""update employee government reg""}"
associateGovernmentRegistration.update,"{""en-US"": ""update worker government enrollment""}"
associateGovernmentRegistration.update,"{""en-US"": ""modify associate gov matriculation""}"
associateGovernmentRegistration.update,"{""en-US"": ""edit associate gov registration""}"
associateGovernmentRegistration.update,"{""en-US"": ""update associate gov reg""}"
associateGovernmentRegistration.update,"{""en-US"": ""edit employee gov reg""}"
associateGovernmentRegistration.update,"{""en-US"": ""modify associate government matriculation""}"
associateGovernmentRegistration.update,"{""en-US"": ""edit associate government reg""}"
associateGovernmentRegistration.update,"{""en-US"": ""modify worker government registration""}"
associateGovernmentRegistration.update,"{""en-US"": ""update associate government enrollment""}"
associateGovernmentRegistration.update,"{""en-US"": ""update associate government registration""}"
associateGovernmentRegistration.update,"{""en-US"": ""update worker passport""}"
associateGovernmentRegistration.update,"{""en-US"": ""update worker driver license""}"
associateGovernmentRegistration.update,"{""en-US"": ""change Teresa passport""}"
associateGovernmentRegistration.update,"{""en-US"": ""change Dan driver license""}"
associateGovernmentRegistration.update,"{""en-US"": ""edit employee passport""}"
associateGovernmentRegistration.update,"{""en-US"": ""update worker SSN""}"
associateGovernmentRegistration.update,"{""en-US"": ""edit Katherine social security number""}"
associateGovernmentRegistration.update,"{""en-US"": ""change employee SSN""}"
associateGovernmentRegistration.update,"{""en-US"": ""update Bill social security number""}"
associateGovernmentRegistration.update,"{""en-US"": ""update worker VISA""}"
associateGovernmentRegistration.update,"{""en-US"": ""modify Bill visa document""}"
associateGovernmentRegistration.update,"{""en-US"": ""edit associate VISA""}"
associateGovernmentRegistration.update,"{""en-US"": ""change Bruno visa""}"
associateGovernmentRegistration.update,"{""en-US"": ""update worker SIN""}"
associateGovernmentRegistration.update,"{""en-US"": ""update worker social insurance number""}"
associateGovernmentRegistration.update,"{""en-US"": ""change Bruno social insurance number""}"
associateGovernmentRegistration.update,"{""en-US"": ""change Katherine SIN""}"
associateGovernmentRegistration.update,"{""en-US"": ""modify associate SIN""}"
associateWageGarnishmentInstruction.create,"{""en-US"": ""add wage garnishment for Anthony""}"
associateWageGarnishmentInstruction.create,"{""en-US"": ""worker create wage garnishment""}"
associateWageGarnishmentInstruction.create,"{""en-US"": ""add student loan recovery for Teresa""}"
associateWageGarnishmentInstruction.create,"{""en-US"": ""create Bill student loan recovery""}"
associateWageGarnishmentInstruction.create,"{""en-US"": ""add court order for worker""}"
associateWageGarnishmentInstruction.create,"{""en-US"": ""create Anthony court order""}"
associateWageGarnishmentInstruction.create,"{""en-US"": ""add creditor debt for Ed""}"
associateWageGarnishmentInstruction.create,"{""en-US"": ""create associate creditor debt""}"
associateWageGarnishmentInstruction.create,"{""en-US"": ""add support order for Alvaro""}"
associateWageGarnishmentInstruction.create,"{""en-US"": ""create associate support order""}"
associateWageGarnishmentInstruction.create,"{""en-US"": ""add withholding order for Roberto""}"
associateWageGarnishmentInstruction.create,"{""en-US"": ""create Kelly withholding order""}"
associateWageGarnishmentInstruction.create,"{""en-US"": ""add tax levy for Cora""}"
associateWageGarnishmentInstruction.create,"{""en-US"": ""create worker tax levy ""}"
associateWageGarnishmentInstruction.create,"{""en-US"": ""add child support order for Vincent""}"
associateWageGarnishmentInstruction.create,"{""en-US"": ""create child support order""}"
associateWageGarnishmentInstruction.create,"{""en-US"": ""add spousal support order for Bruno""}"
